timestamp,drawdown
1759523040000,0.0
1759536900000,0.0019726072363206184
1759796100000,0.005992117154002517
1759882500000,0.010651751808648623
1759968900000,0.012251454175672551
1760141700000,0.02172497204318224
1760228100000,0.026372091246247873
1760314500000,0.0320322027586606
1760400900000,0.036240667174192276
1760832900000,0.039833201339013975
1761005700000,0.043999173438784234
1761178500000,0.04463102348275479
1761351300000,0.04659215504564963
1761524100000,0.051540546749157694
1761610500000,0.054821102372854515
