entry_ts,exit_ts,direction,confidence,entry_price,entry_eff_price,exit_price,exit_eff_price,qty,fees_entry,fees_exit,net_pnl,return_pct,exit_reason,atr_entry,atr_pct,regime,sl_mult,tp_mult,sl_raw,tp_raw,horizon_steps
1759536000000,1759536900000,-1,0.5589069128036499,122232.21,122171.09389500001,122106.6972857143,122167.75063435714,0.08185242254272114,10.0,9.999726346017189,-19.72607236320665,-0.001972607236320665,take_profit,69.72928571428618,0.0005709834872822519,low,1.275,1.8,122321.11483928573,122106.6972857143,3
1759795200000,1759796100000,-1,0.699842095375061,124658.54,124596.21073,124786.17842857142,124848.5715177857,0.08010094263030236,9.980273927636794,10.000488264621353,-40.19509917681836,-0.004027454503579549,stop_loss,100.10857142856965,0.0008029601219542235,low,1.275,1.8,124786.17842857142,124478.34457142856,3
1759881600000,1759882500000,-1,0.6179020404815674,121332.96,121272.29352,121537.1457857143,121597.91435860714,0.08196496116254844,9.940078828459976,9.966768327850124,-46.59634654646058,-0.004687724046317226,stop_loss,160.14571428571486,0.0013171196022308718,low,1.275,1.8,121537.1457857143,121044.69771428572,3
1759968000000,1759968900000,-1,0.7283488214015961,123306.01,123244.356995,123135.62457142856,123197.19238371427,0.0802753385480756,9.893482481913514,9.889696326775063,-15.997023670238452,-0.001616925455670736,take_profit,94.6585714285715,0.000768183724700186,low,1.275,1.8,123426.69967857143,123135.62457142856,3
1760140800000,1760141700000,1,0.8042536377906799,112774.49,112830.877245,112029.53300000001,111973.51823350001,0.08754239707624879,9.877485458243275,9.802430195221643,-94.73517867509653,-0.009591021831982056,stop_loss,584.2799999999999,0.005180799970206941,low,1.275,1.8,112029.53300000001,113826.194,3
1760313600000,1760314500000,-1,0.6083415746688843,114958.81,114901.330595,115281.41960714286,115339.06031694643,0.08514044379564287,9.782750279568178,9.82001878235724,-56.87127185098727,-0.005813423651400579,stop_loss,253.0271428571432,0.002198573138830676,low,1.275,1.8,115281.41960714286,114503.36114285715,3
1760400000000,1760400900000,-1,0.6306070983409882,115166.0,115108.417,115320.73035714286,115378.39072232143,0.0844932044171643,9.725879007717191,9.748689952624558,-42.2855138677093,-0.004347731843482427,stop_loss,121.35714285714286,0.0010541565971651317,low,1.275,1.8,115320.73035714286,114947.55714285714,3
1761177600000,1761178500000,-1,0.6013244390487671,107567.45,107513.666275,107780.70194642857,107834.59229740177,0.09006848923820203,9.68359349384948,9.712498815844436,-48.301414304647444,-0.00498796385198594,stop_loss,167.25642857142728,0.0015545936366763598,low,1.275,1.8,107780.70194642857,107266.38842857143,3
1761350400000,1761351300000,-1,0.6805137991905212,111004.9,110949.39755,110899.79414285715,110955.24403992857,0.08684402342250333,9.635292079544834,9.63579981225313,-19.7788246000946,-0.0020527477980749435,take_profit,58.39214285713907,0.0005260514075177553,low,1.275,1.8,111079.34998214284,110899.79414285715,3
1761523200000,1761524100000,-1,0.8168837577104568,114559.41,114502.13029500001,114809.64696428571,114867.05178776785,0.08397671929920959,9.615513254944739,9.646158164709151,-49.90658118406736,-0.005190215005777575,stop_loss,196.26428571428445,0.001710311681195352,low,1.275,1.8,114809.64696428571,114206.13428571429,3
